1,Toy Mouse:1;Steak:5;Collar:2;Ball:5;Apple:5;Fish:3;
1,Toy Mouse:1;Steak:5;Collar:2;Ball:5;Apple:5;Fish:3;
1,Toy Mouse:1;Steak:4;Collar:2;Ball:5;Apple:5;Fish:3;
1,Toy Mouse:1;Steak:4;Collar:2;Ball:5;Apple:6;Fish:3;
1,Toy Mouse:1;Steak:4;Collar:2;Ball:5;Apple:6;Fish:3;
1,Toy Mouse:1;Steak:4;Collar:2;Ball:6;Apple:6;Fish:3;
1,Steak:4;Collar:1;Ball:6;Apple:6;Fish:3;
1,Steak:4;Collar:1;Ball:6;Apple:6;Fish:3;
1,Steak:4;Collar:1;Ball:6;Apple:6;Fish:3;
1,Steak:3;Ball:5;Apple:6;Fish:4;
1,Toy Mouse:1;Steak:5;Collar:2;Ball:5;Apple:5;Fish:3;
1,Toy Mouse:1;Steak:5;Collar:2;Ball:5;Apple:5;Fish:3;
1,Steak:4;Collar:2;Ball:5;Apple:5;Fish:3;
1,Toy Mouse:1;Steak:5;Collar:2;Ball:5;Apple:5;Fish:3;
1,Toy Mouse:1;Steak:5;Collar:2;Ball:5;Apple:5;Fish:3;
1,Steak:4;Collar:2;Ball:5;Apple:5;Fish:3;
1,Toy Mouse:1;Steak:5;Collar:2;Ball:5;Apple:5;Fish:3;
1,Toy Mouse:1;Steak:5;Collar:2;Ball:5;Apple:5;Fish:3;
1,Steak:4;Collar:2;Ball:5;Apple:5;Fish:3;
1,Toy Mouse:1;Steak:5;Collar:2;Ball:5;Apple:6;Fish:3;
1,Toy Mouse:1;Steak:5;Collar:2;Ball:5;Apple:6;Fish:3;
1,Steak:4;Collar:2;Ball:5;Apple:6;Fish:3;
1,Toy Mouse:1;Steak:5;Collar:2;Ball:5;Apple:6;Fish:3;
1,Toy Mouse:1;Steak:5;Collar:2;Ball:5;Apple:6;Fish:3;
